ID,Title,Content,Context,Links
1,Food court at the Ipoh stadium.,Offers both halal and non-hallal food. Stall 42 has famous fish noodles and fish and meat cakes.,Ipoh,
2,Good steamboat ala carte buffet.,Senior price is RM52 per person for unlimited orders of buffer items from their menu. Lazy Days steamboat at Farlim.,Ipoh,
3,TF value mart in Farlim.,"warehouse style supermarket with many non food items for sale at 2Ringgit . Good fun for bargain hunters. At the checkout, you will be provided with a QR code for payment at the payment kiosks",Ipoh,
4,Malaysian Durians ,The most famous type of durian is the Musang King durian. It is very popular because it is very delicious. The fruit is very fragrant and the golden yellow colour is very attractive. Although it appears expensive as durians are sold by weight it's seeds are small and light compared to most durian varieties. The Queen (Huang hou)durian variety is my favourite,Plants,
6,Hawker food in Penang,"Supertanker on Jalan Nipah, Glugor area has reasonably priced hawker food. There is also a market attached where we ate durians at RM18 a kilo (2024 July).",Penang,
10,Food at Batu Ferrenghi,Beach Corner serves a famous spring roll. Pricing is moderate. There is also the iconic ship restaurant next to the Beach Corner restaurant.,Penang,
11,Szechuan chinese food,"Mini-bowl restaurant at Taipan, Subang Jaya offers a taste of szechuan at an affordable price from RM3 per dish. Their Mapo taufu is has a lot of szechuan pepper thus eating it leaves your mouth quite numb.",Petaling Jaya,
12,"Hokkien Mee (HKM)","Lean Huat Hokkien Mee (@ Swee Kong Kopi Tiam, opposite Pulau Tikus Police Station, No.232, Jalan Burma, 10250 Pg) starts at 7am, selling out by 9:30am. One Corner Cafe (behind Penang Plaza, No.4, Jalan Bawasah, 10050 Pg) has similar hours. Ah Koo Hokkien Mee (@ Classic Cafe, opposite Padang Brown Food Court, No.126, Jalan Perak, 10450 Pg) is open 7:30-11:30am, closed Tuesdays. Dannok Hokkien Mee (41, Jalan Seang Tek, 10400 Pg) runs 8am-2pm, closed Wednesdays & Tuesdays. Home-style Hokkien Mee (Lorong Jelutong, operates from house, No.58, Lorong Jelutong off Lebuhraya Gelugor, 11600 Pg) opens Mon-Thurs mornings only, starting at 8:30am and selling out by 10:30am (also sells nasi lemak packets, usually sold out by 9am, call +604-657 9933 to reserve nasi lemak a day before). Oh Lay Ee Hokkien Mee (No.13, Presgrave St Ghaut, on the left mid-way turning in from CY Choy Rd) is open 5am-10am, closed Tuesdays and every 1st & 15th of the Chinese lunar month. Wufoo Hokkien Mee (Ah Seng, No.2, Presgrave St Ghaut, 10300 Pg) runs 4pm-12:30am, with self-service takeaway to Bee Heong Hooi kopi tiam at the corner (enjoy CKT & Ikan Bakar there too). The Shark Food Court (No.192, Jalan Burma, 10350 Pg) is open 7:30am-12pm, closed Mondays. Nirvana Cafetaria (No.156, Jalan Anson, 10400 Pg) runs 8am-2pm, closed Mondays. Bridge Street Hokkien Mee (No.533, Lebuh Pantai, 10300 Pg) operates 7am-12pm, closed Mondays.",Yap Guan Chiang Penang,
13,"Char Koay Teow (CKT)","328 Char Koay Teow (@ Khoon Hiang Kopi Tiam, junction of Dunlop Rd/Dato Keramat Rd, opposite Starview Restaurant) at No. 358, Jalan Dato Keramat (10150 Pg) opens 8:30am-2pm, closed Mondays & Tuesdays. 850 Char Koay Teow (@ Cecil Street Market Food Court, No.40-48, Cecil Street, 10300 Pg) runs 11am-4pm (closed Wednesdays), located behind the Pasembur stall. Other recommendations there include pasembur, koay teow th'ng, wan tan mee, curry mee, otak-otak, roast pork, lo han guo, and more. Jin Cafe (junction of Siam Rd/Anson Rd) at No.110, Jalan Siam (10400 Pg) is open 7:30am-3pm (closed Sundays), offering Fukui Mee (Lam Mee) & Wan Tan Mee. Bee Heong Wooi Kopi Tiam (junction of Jalan CY Choy/Presgrave St Ghaut) at No.103, Jalan CY Choy (10300 Pg) operates 2pm-9pm (closed Sundays). Tiger Char Koay Teow (@ Ping Hooi Coffee Shop, junction of Carnavon St/Malay St) at No.179, Carnavon Street (10450 Pg) opens 8am-2:30pm. Try the Char Koay Teow fried by Tiger himself! Other good options include lor bak, lor mee, and hkm. FoodHub by You&Me (No.4, Lintang Kampung Melayu, 2, Mukim 13, 11500 Ayer Itam, Pg) runs 7:30am-10pm (closed Fridays). Sin Hwa Char Koay Teow appears at Pulau Tikus Market Night Hawkers (Jalan Pasar, 10350 Pg) only at night. Wa Hong Cafe (Lorong Kampong Jawa, 11900 Bayan Lepas, Pg) is open 6am-2pm (closed Sundays). Hiong Hiong Char Koay Teow (Stall No.43) at Batu Lanchang Market Food Court (No.25, Lintang Batu Lanchang, 10100 Pg) operates 12:30-6:30pm. Don't miss the pasembur, popiah (Stall No.31), and Ah Kheng's Nyonya Kuih there!",Yap Guan Chiang Penang,
14,Laksa,"Craving laksa lemak? Check out Under The Trees (Lau Heoh Hui Hawkers) at Lengkok Burma (10350 Pg) for both assam and lemak laksa flavors, open 10:30am-2pm (closed Saturdays & Sundays). Granny Q Laksa Lemak at Sin Yong Wah Coffee Shop (No.15, Solok Moulmein, 10350 Pg) offers theirs from 7:30am-12pm (closed Mondays). For a night option, head to Keat Seng Kopi Tiam (Choong Nam Night Hawkers) at No.10-J, Jalan Air Itam (11500 Pg) or Pulau Tikus Market Night Hawkers (Jalan Pasar, 10350 Pg), both serving assam and lemak laksa. Air Itam Market Annex Food Court (Jalan Pasar, 11500 Pg) is another option, open 10am-5pm (closed Mondays) and featuring both laksa styles.",Yap Guan Chiang Penang,
